Company_name,About_company,Company_link,Jobrole,Job_responsilities,Eligibility_cgpa,Eligibility_branches,Eligible_Passedout_Batchs,Eligibility_education_gap,application_start_date,application_end_date,not_eligible,not_attended,written_selects,tr_selects,final_selects
TCS,"Tata Consultancy Services (TCS) is an Indian multinational technology company that specializes in information technology (IT) services and consulting, headquartered in Mumbai, Maharashtra, India. [6] [7] and has its largest workforce based in Chennai , Tamil Nadu , India .",www.tcs.com,testing,testing,8,ECE/CSE/IT/EEE/MECH,2021,0,2021-02-04,2021-03-16,50,12,300,250,222
Cognizant,"Founded in 1896, CTS Corporation (NYSE: CTS) is a leading designer and manufacturer of products that Sense, Connect, and Move. The company manufactures sensors, actuators, and electronic components in North America, Europe, and Asia.",www.cts.edu,QUALITY ENGINEERING TESTING,testing,8,ECE/CSE/IT/EEE/MECH,2021,0,2021-06-02,2021-03-15,51,13,321,300,280
Capgemini,"It’s 1967 in Grenoble, France: Television broadcasts are in color for the first time. The city is buzzing about the upcoming 1968 Winter Olympics. Inspired by these exciting technological and cultural changes, entrepreneur Serge Kampf decides the time is ripe to launch an IT company. And so began the Capgemini story.",https://www.capgemini.com/in-en/,Analyst,Analysis,7.5,IT/CSE/ECE,2021,0,2020-07-30,2020-08-14,52,14,171,108,104
Infosys,"Infosys Limited is an Indian multinational technology company that provides business consulting, information technology and outsourcing services. The company is headquartered in Bangalore, Karnataka, India . [6]",www.infosys.com,maintainer,maintainer,8,ECE/CSE/IT/EEE/MECH,2021,0,2021-02-11,2021-03-20,53,15,142,103,76
Wipro,"Corporation is an American information technology services company founded in 1996 in Sri Lanka and has its headquarters in Southborough, Massachusetts, United States",www.virtusa.com,Senior System Architect,Senior System Architect,7.5,ECE/CSE/IT/EEE/MECH,2021,0,2020-10-22,2021-09-24,54,16,124,102,87
HCL,Campus,https://docs.google.com/forms/d/e/1FAIpQLSdHKexVevdZfHjrNSSacyl7AgEa0jDYLuJcx6e90yW1WuTWRQ/viewform?usp=sf_link,Teacher's Assistant ,Have to do what assistant has to do,8,ECE/CSE/IT/EEE/MECH,2022,1,2021-03-17,2021-03-24,55,17,143,131,105
Accenture,Pegasystems is the leader in software for digital transformation. Find out more about our 35-year history of helping the world's leading organizations achieve breakthrough business results.,https://www.pega.com/,Asst Solution Engineer,Provide dynamic solutions,8.5,ECE/CSE,2021,0,2020-09-01,2020-09-15,56,18,50,26,15
IBM,Sush is a consulting company which provides service to people who need to sush someone ,https://docs.google.com/forms/d/e/1FAIpQLSdHKexVevdZfHjrNSSacyl7AgEa0jDYLuJcx6e90yW1WuTWRQ/viewform?usp=sf_link,Sushing,Have to sush everyone who is talking in library,3,ECE/CSE/IT/EEE/MECH,2021,2,2021-03-15,2021-03-31,57,19,108,101,80
Mindtree,"Mindtree delivers digital transformation and technology services from ideation to execution, enabling Global 2000 clients to outperform the competition. “Born digital,” Mindtree takes an agile, collaborative approach to creating customized solutions across the digital value chain. Our deep expertise in infrastructure and applications management turns IT into a strategic asset. Whether you need to run your business more efficiently or accelerate revenue growth, Mindtree can get you there.",https://www.mindtree.com/,Software Engineer,Provide Solutions,6.5,ECE/IT/CSE,2021,0,2020-11-01,2020-11-23,58,20,26,20,17
Deloitte,Knowledge Lens provides a collection of Lens that automates and simplify the discovery of hidden insights from Big Data. Our mission is to turn the dark data to meaningful business insights. We are Big Data Technology Geeks with extensive Industry expertise with wide range of Big Data Projects ranging from Big Data Engineering to Data Science.,https://www.knowledgelens.com/aboutUs.html,Data Engineer,Analysis,7,ECE/CSE/EEE/CIVIL/MECH/IT,2021,1,2020-10-01,2020-10-10,59,21,10,7,3
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
